accession,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,targetID,isMoA,linkedTargets,id,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget,proteinClass,isActive
P35462,CHEMBL1006,112480,CHEMBL1909141,15,DRUGMATRIX,,,,130,Dopamine D3 receptor,CHEMBL234,Homo sapiens,655.0,nM,=,6.18,ENSG00000151577,false,,CHEMBL1006,CHEMBL1006,P35462,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,false
P30968,CHEMBL1007,112560,CHEMBL709251,1,LITERATURE,J Med Chem,9784092.0,10.1021/jm9803673,118,Gonadotropin-releasing hormone receptor,CHEMBL1855,Homo sapiens,10.0,nM,=,8.0,ENSG00000109163,true,"{[ENSG00000109163], 1}",CHEMBL1007,CHEMBL1007,P30968,"[impc, eva, orphanet, chembl]",false,true,GPCR,true
P10721,CHEMBL101253,165012,CHEMBL1908483,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,238,Stem cell growth factor receptor,CHEMBL1936,Homo sapiens,5.1,nM,=,8.29,ENSG00000157404,true,"{[ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000182578, ENSG00000102755, ENSG00000037280, ENSG00000128052], 7}",CHEMBL101253,CHEMBL101253,P10721,"[uniprot_literature, impc, eva, orphanet, intogen, ot_genetics_portal, clingen, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,true
P42685,CHEMBL101253,165012,CHEMBL1908552,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30012,Tyrosine-protein kinase FRK,CHEMBL4223,Homo sapiens,1800.0,nM,=,5.75,ENSG00000111816,false,"{[ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000182578, ENSG00000102755, ENSG00000037280, ENSG00000128052], 7}",CHEMBL101253,CHEMBL101253,P42685,"[ot_genetics_portal, chembl]",false,true,Kinase,false
P49336,CHEMBL101253,165012,CHEMBL1908526,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,101300,Cell division protein kinase 8,CHEMBL5719,Homo sapiens,4500.0,nM,=,5.35,ENSG00000132964,false,"{[ENSG00000157404, ENSG00000113721, ENSG00000134853, ENSG00000182578, ENSG00000102755, ENSG00000037280, ENSG00000128052], 7}",CHEMBL101253,CHEMBL101253,P49336,"[ot_genetics_portal, chembl]",false,true,Kinase,false
P37231,CHEMBL1014,116349,CHEMBL4768835,1,LITERATURE,Eur J Med Chem,3.227242E7,10.1016/j.ejmech.2020.112258,133,Peroxisome proliferator-activated receptor gamma,CHEMBL235,Homo sapiens,4200.0,nM,=,5.38,ENSG00000132170,false,"{[ENSG00000144891], 1}",CHEMBL1014,CHEMBL1014,P37231,"[impc, eva, ot_genetics_portal, chembl, cancer_gene_census]",false,true,NR,false
Q9NPC1,CHEMBL1016,116848,CHEMBL4839253,1,LITERATURE,ACS Med Chem Lett,3.4413955E7,10.1021/acsmedchemlett.1c00240,10868,Leukotriene B4 receptor 2,CHEMBL3191,Homo sapiens,15000.0,nM,=,4.82,ENSG00000213906,false,"{[ENSG00000144891], 1}",CHEMBL1016,CHEMBL1016,Q9NPC1,[impc],false,false,GPCR,false
Q9NPD5,CHEMBL1017,116949,CHEMBL3039493,1,LITERATURE,Mol Pharmacol,2.3571415E7,10.1124/mol.112.084152,104062,Solute carrier organic anion transporter family member 1B3,CHEMBL1743121,Homo sapiens,960.0,nM,=,6.02,ENSG00000111700,false,"{[ENSG00000144891], 1}",CHEMBL1017,CHEMBL1017,Q9NPD5,[impc],false,false,Transporter,false
Q9HCG7,CHEMBL1029,122901,CHEMBL4395493,1,LITERATURE,Eur J Med Chem,3.1075609E7,10.1016/j.ejmech.2019.04.061,11815,Beta-glucosidase,CHEMBL3761,Homo sapiens,14.0,nM,=,7.85,ENSG00000070610,false,"{[ENSG00000148154], 1}",CHEMBL1029,CHEMBL1029,Q9HCG7,"[uniprot_literature, impc, eva, uniprot_variants]",false,false,Enzyme,true
Q9UBE8,CHEMBL103667,167995,CHEMBL1063809,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,100931,Serine/threonine protein kinase NLK,CHEMBL5364,Homo sapiens,1000.0,nM,=,6.0,ENSG00000087095,false,"{[ENSG00000112062], 1}",CHEMBL103667,CHEMBL103667,Q9UBE8,[ot_genetics_portal],false,false,Kinase,false
P61604,CHEMBL1042,125294,CHEMBL4392933,1,LITERATURE,Bioorg Med Chem Lett,3.0852084E7,10.1016/j.bmcl.2019.02.028,117701,HSP60/HSP10,CHEMBL4106131,Homo sapiens,11000.0,nM,=,4.96,ENSG00000115541,false,"{[ENSG00000111424], 1}",CHEMBL1042,CHEMBL1042,P61604,[ot_genetics_portal],false,false,None,false
