chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget
CHEMBL101253,165012,CHEMBL1908490,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,238,P10721,Stem cell growth factor receptor,CHEMBL1936,Homo sapiens,210.0,nM,=,6.68,CHEMBL101253,P10721,"uniprot_literature,impc,eva,orphanet,intogen,ot_genetics_portal,clingen,chembl,uniprot_variants,eva_somatic,cancer_gene_census",false,true
CHEMBL101253,165012,CHEMBL1908552,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30012,P42685,Tyrosine-protein kinase FRK,CHEMBL4223,Homo sapiens,1800.0,nM,=,5.75,CHEMBL101253,P42685,"ot_genetics_portal,chembl",false,true
CHEMBL1023,119498,CHEMBL4430346,1,LITERATURE,J Med Chem,2.7592633E7,10.1021/acs.jmedchem.6b00812,105765,P48443,Retinoid X receptor,CHEMBL2363070,Homo sapiens,52.0,nM,=,7.28,CHEMBL1023,P48443,chembl,false,true
CHEMBL1029,122901,CHEMBL1040323,1,LITERATURE,Bioorg Med Chem Lett,1.9853441E7,10.1016/j.bmcl.2009.10.022,11815,Q9HCG7,Beta-glucosidase,CHEMBL3761,Homo sapiens,230.0,nM,=,6.64,CHEMBL1029,Q9HCG7,"uniprot_literature,impc,eva,uniprot_variants",false,false
CHEMBL1029,122901,CHEMBL1099886,1,LITERATURE,J Med Chem,2.0000679E7,10.1021/jm901281m,100904,P35573,Glycogen debranching enzyme,CHEMBL5272,Homo sapiens,10000.0,nM,=,5.0,CHEMBL1029,P35573,"impc,eva,orphanet,gene2phenotype,clingen,uniprot_variants",false,false
CHEMBL103667,167995,CHEMBL1908550,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10979,P17948,Vascular endothelial growth factor receptor 1,CHEMBL1868,Homo sapiens,410.0,nM,=,6.39,CHEMBL103667,P17948,chembl,false,true
CHEMBL103667,167995,CHEMBL1051257,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,100079,P07949,Tyrosine-protein kinase receptor RET,CHEMBL2041,Homo sapiens,240.0,nM,=,6.62,CHEMBL103667,P07949,chembl,false,true
CHEMBL103667,167995,CHEMBL1062840,1,LITERATURE,Nat Biotechnol,1.8183025E7,10.1038/nbt1358,10266,P11362,Fibroblast growth factor receptor 1,CHEMBL3650,Homo sapiens,4300.0,nM,=,5.37,CHEMBL103667,P11362,chembl,false,true
CHEMBL104,13494,CHEMBL1909139,15,DRUGMATRIX,,,,88,P21728,Dopamine D1 receptor,CHEMBL2056,Homo sapiens,9017.0,nM,=,5.04,CHEMBL104,P21728,chembl,false,true
CHEMBL104,13494,CHEMBL1909109,15,DRUGMATRIX,,,,121,P31645,Serotonin transporter,CHEMBL228,Homo sapiens,3060.0,nM,=,5.51,CHEMBL104,P31645,chembl,false,true
CHEMBL104,13494,CHEMBL1909180,15,DRUGMATRIX,,,,136,P41143,Delta opioid receptor,CHEMBL236,Homo sapiens,4978.0,nM,=,5.3,CHEMBL104,P41143,chembl,false,true
CHEMBL104,13494,CHEMBL1909214,15,DRUGMATRIX,,,,252,P29274,Adenosine A2a receptor,CHEMBL251,Homo sapiens,7136.0,nM,=,5.15,CHEMBL104,P29274,chembl,false,true
CHEMBL1064,138562,CHEMBL3530853,1,LITERATURE,Drug Metab Dispos,2.2328583E7,10.1124/dmd.111.043505,10163,P10632,Cytochrome P450 2C8,CHEMBL3721,Homo sapiens,3700.0,nM,=,5.43,CHEMBL1064,P10632,cancer_gene_census,false,false
CHEMBL107,14440,CHEMBL4738677,1,LITERATURE,Eur J Med Chem,3.3618157E7,10.1016/j.ejmech.2021.113275,104766,Q9H4B7,Tubulin,CHEMBL2095182,Homo sapiens,200.0,nM,=,6.7,CHEMBL107,Q9H4B7,"impc,ot_genetics_portal,chembl",false,true
CHEMBL107,14440,CHEMBL4123910,1,LITERATURE,Bioorg Med Chem,2.9793751E7,10.1016/j.bmc.2018.05.022,10788,P07437,Tubulin beta-5 chain,CHEMBL5444,Homo sapiens,6930.0,nM,=,5.16,CHEMBL107,P07437,"ot_genetics_portal,chembl",false,true
CHEMBL1071,139225,CHEMBL4400163,1,LITERATURE,Bioorg Med Chem,3.1447248E7,10.1016/j.bmc.2019.115052,106142,P01031,Complement C5,CHEMBL2364163,Homo sapiens,640.0,nM,=,6.19,CHEMBL1071,P01031,"ot_genetics_portal,chembl",false,true
