target_chembl_id,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,organism,standard_value,standard_units,standard_relation,pchembl_value,isHighQualityProbe,isTherapeuticTarget,concatenated_sources
CHEMBL1075094,"CHEMBL116438,CHEMBL165,CHEMBL48802,CHEMBL1762621","1139916,75869,103658,190171","CHEMBL3879610,CHEMBL4307109,CHEMBL3295141,CHEMBL4193075",1,LITERATURE,"ACS Med Chem Lett,Bioorg Med Chem,J Med Chem,J Nat Prod","2.812644E7,2.4920381E7,2.8753294E7,3.1312409E7","10.1016/j.bmc.2017.01.005,10.1021/acs.jnatprod.7b00271,10.1021/jm500308c,10.1021/acsmedchemlett.9b00163",103144,Q16236,Nuclear factor erythroid 2-related factor 2,Homo sapiens,"580.0,9900.0,5400.0,60.0",nM,=,"5.0,5.27,7.22,6.24",false,true,"impc,intogen,chembl,eva_somatic,cancer_gene_census,impc,intogen,chemicalProbes,chembl,eva_somatic,cancer_gene_census,intogen,chembl,eva_somatic,cancer_gene_census"
CHEMBL1075162,CHEMBL787,47447,CHEMBL3269457,1,LITERATURE,ACS Med Chem Lett,2.4900835E7,10.1021/ml400399f,103101,Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,Homo sapiens,6540.0,nM,=,5.18,false,false,impc
CHEMBL1075167,"CHEMBL601719,CHEMBL608533,CHEMBL521851,CHEMBL288441,CHEMBL1721885,CHEMBL941,CHEMBL180022,CHEMBL1287853,CHEMBL1173655,CHEMBL576982,CHEMBL513909,CHEMBL502835,CHEMBL223360,CHEMBL1336,CHEMBL553,CHEMBL1230609,CHEMBL428690,CHEMBL300138,CHEMBL939,CHEMBL535,CHEMBL558752","573133,1102616,299120,88797,650126,88232,371147,13048,470511,276734,83217,522730,714243,568340,692959,490644,14785,602271,14366,62111,608601","CHEMBL1244865,CHEMBL1908417",1,LITERATURE,"Blood,Nat Biotechnol","1.9654408E7,2.2037378E7","10.1038/nbt.1990,10.1182/blood-2009-05-222034",103106,Q8NE63,Homeodomain-interacting protein kinase 4,Homo sapiens,"130.0,3600.0,5000.0,0.51,2.7,310.0,220.0,950.0,1200.0,2000.0,360.0,320.0,960.0,560.0,46.0,1500.0,160.0,970.0",nM,=,"5.7,8.57,6.25,9.29,6.66,6.44,5.44,6.01,6.51,5.82,6.02,7.34,6.8,5.92,5.3,6.89,6.5",false,false,impc
CHEMBL1075195,"CHEMBL601719,CHEMBL572878,CHEMBL384304,CHEMBL296468,CHEMBL288441,CHEMBL1287853,CHEMBL1789941,CHEMBL91829,CHEMBL494089,CHEMBL1421,CHEMBL1336,CHEMBL477772,CHEMBL1230609,CHEMBL428690,CHEMBL491473,CHEMBL558752,CHEMBL445813","469313,361469,436277,276734,361203,1153572,489525,714243,692959,568340,456867,602271,144959,511261,71663,14366,62111",CHEMBL1908796,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103140,Q9UL54,Serine/threonine-protein kinase TAO2,Homo sapiens,"5900.0,540.0,760.0,310.0,1800.0,5400.0,3900.0,900.0,1900.0,6900.0,430.0,1400.0,50.0,140.0,750.0,250.0",nM,=,"5.16,5.85,5.72,7.3,5.75,5.41,6.85,6.6,6.05,6.51,6.37,6.12,5.23,5.27,6.27",false,false,"ot_genetics_portal,ot_genetics_portal,eva_somatic,eva_somatic"
CHEMBL1075319,"CHEMBL207433,CHEMBL2443061,CHEMBL3577885,CHEMBL3353597,CHEMBL256087","1817707,349135,1589591,1946198,425650","CHEMBL5161310,CHEMBL3383300,CHEMBL5214521,CHEMBL2444600,CHEMBL2445667","1,65","LIT_EUBOPEN_CGL,LITERATURE","Bioorg Med Chem,Bioorg Med Chem Lett,Eur J Med Chem","2.5455182E7,2.408046E7,2.4055075E7,3.5263708E7","10.1016/j.bmc.2013.08.031,10.6019/CHEMBL5212743,10.1016/j.bmcl.2014.10.074,10.1016/j.ejmech.2022.114191,10.1016/j.bmcl.2013.09.016",103167,Q7Z2W7,Transient receptor potential cation channel subfamily M member 8,Homo sapiens,"8.3,13.8,3000.0,8.9,1600.0",nM,=,"5.52,8.08,5.8,7.86,8.05","false,true","false,true","ot_genetics_portal,ot_genetics_portal,chembl,chemicalProbes"
CHEMBL1163106,"CHEMBL384304,CHEMBL296468,CHEMBL1230609,CHEMBL428690,CHEMBL445813","361203,692959,511261,71663,14366",CHEMBL1908722,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103435,P20794,Serine/threonine-protein kinase MAK,Homo sapiens,"1800.0,11.0,28.0,2300.0,97.0",nM,=,"7.01,5.64,5.75,7.96,7.55",false,false,ot_genetics_portal
CHEMBL1163129,"CHEMBL601719,CHEMBL502835,CHEMBL1421,CHEMBL553,CHEMBL1721885,CHEMBL603469,CHEMBL1908397,CHEMBL1287853,CHEMBL1173655,CHEMBL939,CHEMBL535,CHEMBL522892,CHEMBL1789941","1153572,522730,714243,1102616,14785,361469,650126,88232,13048,597145,602271,1248758,494834",CHEMBL1908509,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103458,Q52WX2,Serine/threonine-protein kinase SBK1,Homo sapiens,"4800.0,580.0,1300.0,620.0,560.0,790.0,110.0,1500.0,1200.0,200.0",nM,=,"5.32,6.1,5.82,6.25,6.21,6.7,5.92,5.89,6.96,6.24",false,false,ot_genetics_portal
CHEMBL1250348,CHEMBL4297458,2335429,CHEMBL5029808,1,LITERATURE,Bioorg Med Chem Lett,3.4560263E7,10.1016/j.bmcl.2021.128376,103481,P01106,Myc proto-oncogene protein,Homo sapiens,0.7,nM,=,9.15,false,false,"uniprot_literature,impc,intogen,ot_genetics_portal,eva_somatic,cancer_gene_census"
CHEMBL1250402,CHEMBL55643,87251,CHEMBL3111090,1,LITERATURE,J Med Chem,2.4304219E7,10.1021/jm401497a,103516,O94759,Transient receptor potential cation channel subfamily M member 2,Homo sapiens,2600.0,nM,=,5.58,false,false,ot_genetics_portal
CHEMBL1250411,CHEMBL2024567,1339957,CHEMBL5149869,1,LITERATURE,ACS Med Chem Lett,3.6105325E7,10.1021/acsmedchemlett.2c00258,103525,Q9UL62,Short transient receptor potential channel 5,Homo sapiens,7.59,nM,=,8.12,false,false,chemicalProbes
