chembl_id,molregno,tid,accession,pref_name,target_chembl_id,min_standard_value,standard_units,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget
CHEMBL101253,165012,10120,Q15759,MAP kinase p38 beta,CHEMBL3961,0.5,degrees C,CHEMBL101253,Q15759,"ot_genetics_portal,chembl",false,true
CHEMBL1017,116949,115,P30556,Type-1 angiotensin II receptor,CHEMBL227,1.0,nM l-1,CHEMBL1017,P30556,"impc,eva,chembl",false,true
CHEMBL1017,116949,115,P30556,Type-1 angiotensin II receptor,CHEMBL227,0.49,nM,CHEMBL1017,P30556,"impc,eva,chembl",false,true
CHEMBL1017,116949,115,P30556,Type-1 angiotensin II receptor,CHEMBL227,1.0,hr,CHEMBL1017,P30556,"impc,eva,chembl",false,true
CHEMBL1034,123693,126,P35354,Cyclooxygenase-2,CHEMBL230,800.0,nM,CHEMBL1034,P35354,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1034,123693,126,P35354,Cyclooxygenase-2,CHEMBL230,42.0,%,CHEMBL1034,P35354,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1034,123693,126,P35354,Cyclooxygenase-2,CHEMBL230,21.65,pg/ml,CHEMBL1034,P35354,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1064,138562,101283,O15245,Solute carrier family 22 member 1,CHEMBL5685,22.6,%,CHEMBL1064,O15245,"impc,ot_genetics_portal",false,false
CHEMBL107,14440,11398,P08183,P-glycoprotein 1,CHEMBL4302,8.0,%,CHEMBL107,P08183,"impc,chembl",false,true
CHEMBL107,14440,11398,P08183,P-glycoprotein 1,CHEMBL4302,0.1,nM/mg*min,CHEMBL107,P08183,"impc,chembl",false,true
CHEMBL107,14440,11398,P08183,P-glycoprotein 1,CHEMBL4302,17.9,nm/s,CHEMBL107,P08183,"impc,chembl",false,true
CHEMBL1094704,628676,10781,Q96GD4,Serine/threonine-protein kinase Aurora-B,CHEMBL2185,5.0,nM,CHEMBL1094704,Q96GD4,chemicalProbes,false,false
CHEMBL1097901,624363,11400,P42345,Serine/threonine-protein kinase mTOR,CHEMBL2842,0.8,nM,CHEMBL1097901,P42345,chemicalProbes,false,false
CHEMBL1172422,650037,10980,P35968,Vascular endothelial growth factor receptor 2,CHEMBL279,0.9,nM,CHEMBL1172422,P35968,chemicalProbes,false,false
CHEMBL1201027,674978,47,P08172,Muscarinic acetylcholine receptor M2,CHEMBL211,0.5012,nM,CHEMBL1201027,P08172,"uniprot_literature,chembl",false,true
CHEMBL122182,198442,9,P00533,Epidermal growth factor receptor erbB1,CHEMBL203,8.0,nM,CHEMBL122182,P00533,chemicalProbes,false,false
CHEMBL1229,228121,11627,P23141,Acyl coenzyme A:cholesterol acyltransferase,CHEMBL2265,177000.0,nM,CHEMBL1229,P23141,impc,false,false
CHEMBL1287853,714243,10752,O14920,Inhibitor of nuclear factor kappa B kinase beta subunit,CHEMBL1991,360.0,nM,CHEMBL1287853,O14920,"impc,intogen,ot_genetics_portal,chembl,cancer_gene_census",false,true
CHEMBL1358,304798,11180,Q96RI1,Bile acid receptor FXR,CHEMBL2047,62.1,%,CHEMBL1358,Q96RI1,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1358,304798,11180,Q96RI1,Bile acid receptor FXR,CHEMBL2047,790.0,nM,CHEMBL1358,Q96RI1,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1382,321964,169,Q13936,Voltage-gated L-type calcium channel alpha-1C subunit,CHEMBL1940,25118.86,nM,CHEMBL1382,Q13936,chembl,false,true
CHEMBL14249,14264,10781,Q96GD4,Serine/threonine-protein kinase Aurora-B,CHEMBL2185,34000.0,nM,CHEMBL14249,Q96GD4,ot_genetics_portal,false,false
CHEMBL1448,378218,11842,P07948,Tyrosine-protein kinase Lyn,CHEMBL3905,23800.0,nM,CHEMBL1448,P07948,"impc,chembl,cancer_gene_census",false,true
CHEMBL1471,399361,10982,P29371,Neurokinin 3 receptor,CHEMBL4429,454.1,nM,CHEMBL1471,P29371,"impc,chembl",false,true
CHEMBL1487,417180,11307,Q9UBN7,Histone deacetylase 6,CHEMBL1865,14466.0,nM,CHEMBL1487,Q9UBN7,"impc,chembl",false,true
CHEMBL1489,418401,104062,Q9NPD5,Solute carrier organic anion transporter family member 1B3,CHEMBL1743121,96.87,%,CHEMBL1489,Q9NPD5,impc,false,false
CHEMBL1503,419601,104770,P13637,Sodium/potassium-transporting ATPase,CHEMBL2095186,31622.78,nM,CHEMBL1503,P13637,"impc,eva,orphanet,chembl,uniprot_variants",false,true
CHEMBL1503,419601,104770,Q13733,Sodium/potassium-transporting ATPase,CHEMBL2095186,31622.78,nM,CHEMBL1503,Q13733,chembl,false,true
