target_chembl_id,drugId,target_chembl_id_moa_aggr,pchembl_value_aggr,max_pchembl_value,median_pchembl_value,drugType,maximumClinicalTrialPhase,isApproved,assay_chembl_id,assay_type,target_organism,target_pref_name,data_validity_comment,data_validity_description,confidence_score,confidence_description,assay_category,target_type,accession,proteinClass,isActive_max,isActive_med,action_type_moa,isInMoA,targetId,isHighQualityProbe,isTherapeuticTarget,isGE,isGE_clinical,isProbe,linkedTargets_count,linkedDiseases_count,action_type_action_type,action_type_description,action_type_parent_type,sources_concated,linkedTargets_rows_concated,linkedDiseases_rows_concated
CHEMBL1293256,CHEMBL59,CHEMBL213,5.50,5.50,5.5,Small molecule,4.0,true,CHEMBL1614034,F,Homo sapiens,Thrombopoietin,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P40225,None,TRUE,TRUE,AGONIST,false,ENSG00000090534,false,false,true,true,false,1,14,,,,ot_genetics_portal,ENSG00000043591,"EFO_1002048, EFO_0005207, EFO_0003917, EFO_0006834, MONDO_0002050, EFO_0003144, MONDO_0005180, EFO_0000612, HP_0031273, MONDO_0005180, EFO_0000373, HP_0100543, EFO_0000319, EFO_0000400"
CHEMBL205,CHEMBL220492,"CHEMBL2109241, CHEMBL205, CHEMBL3729, CHEMBL2093872, CHEMBL2331043, CHEMBL2096670","7.32, 8.00, 8.00, 7.98, 8.00, 8.00, 8.00",8.00,8.0,Small molecule,4.0,true,CHEMBL1960462,B,Homo sapiens,Carbonic anhydrase II,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P00918,Enzyme,TRUE,TRUE,ANTAGONIST,false,ENSG00000104267,false,true,true,true,false,37,44,,,,"impc, chembl","ENSG00000144285, ENSG00000183873, ENSG00000007314, ENSG00000136546, ENSG00000136531, ENSG00000169432, ENSG00000153253, ENSG00000168356, ENSG00000196876, ENSG00000185313, ENSG00000022355, ENSG00000145864, ENSG00000113327, ENSG00000166206, ENSG00000109158, ENSG00000182256, ENSG00000268089, ENSG00000011677, ENSG00000094755, ENSG00000187730, ENSG00000163285, ENSG00000163288, ENSG00000102287, ENSG00000151834, ENSG00000186297, ENSG00000145863, ENSG00000171189, ENSG00000105737, ENSG00000149403, ENSG00000164418, ENSG00000163873, ENSG00000167434, ENSG00000104267, ENSG00000152578, ENSG00000125675, ENSG00000120251, ENSG00000155511","HP_0011868, EFO_0007191, MONDO_0002046, EFO_0005203, EFO_0001073, MONDO_0005180, MONDO_0021187, EFO_0007262, MONDO_0005277, EFO_0004895, EFO_0004211, EFO_0001063, MONDO_0005299, MONDO_0008300, HP_0002315, EFO_0005204, EFO_0004263, MONDO_0005148, EFO_0000400, EFO_0004701, EFO_0004242, EFO_0001358, EFO_0004329, EFO_0005230, EFO_0003768, EFO_0000474, HP_0100543, EFO_0003843, EFO_0005207, MONDO_0002050, MONDO_0005090, EFO_0004319, EFO_0001421, EFO_0004699, EFO_0003108, EFO_0000195, MONDO_0016532, MONDO_0005301, MONDO_0004985, EFO_0000537, HP_0001250, EFO_0005924, EFO_0002610, MONDO_0007079"
CHEMBL205,CHEMBL310671,"","5.22, 5.22, 5.22",5.22,5.22,Small molecule,3.0,false,CHEMBL3767548,B,Homo sapiens,Carbonic anhydrase II,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P00918,Enzyme,TRUE,TRUE,,,ENSG00000104267,false,true,true,true,false,,1,,,,"impc, chembl","",EFO_0000474
CHEMBL1293235,CHEMBL277522,"",6.05,6.05,6.05,Small molecule,4.0,true,CHEMBL1614544,F,Homo sapiens,Prelamin-A/C,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P02545,None,TRUE,TRUE,,,ENSG00000160789,false,false,true,true,false,,1,,,,impc,"",EFO_0005755
CHEMBL6101,CHEMBL165790,"",6.38,6.38,6.38,Small molecule,-1.0,false,CHEMBL1614373,F,Homo sapiens,Signal transducer and activator of transcription 1-alpha/beta,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P42224,TF,TRUE,TRUE,,,ENSG00000115415,false,false,true,true,false,,1,,,,"impc, ot_genetics_portal","",EFO_0004260
CHEMBL4261,CHEMBL1563,"",5.60,5.60,5.6,Small molecule,4.0,true,CHEMBL1614456,F,Homo sapiens,Hypoxia-inducible factor 1 alpha,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,Q16665,TF,TRUE,TRUE,,,ENSG00000100644,false,false,true,true,false,1,23,,,,cancer_gene_census,ENSG00000131747,"EFO_1001052, EFO_0000574, EFO_0000220, EFO_0000565, EFO_0000223, EFO_0003028, EFO_0003811, EFO_0000209, EFO_0004251, EFO_0000218, EFO_0000198, MONDO_0000870, EFO_0000224, EFO_0003025, EFO_0000221, EFO_0003029, EFO_0000691, EFO_0003027, EFO_0003802, EFO_0000222, EFO_1001779, EFO_0000094, MONDO_0044917"
CHEMBL234,CHEMBL493,CHEMBL2331075,7.06,7.06,7.06,Small molecule,4.0,true,CHEMBL673828,B,Homo sapiens,Dopamine D3 receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P35462,GPCR,TRUE,TRUE,AGONIST,false,ENSG00000151577,false,true,true,true,false,3,15,,,,"impc, chembl","ENSG00000149295, ENSG00000151577, ENSG00000069696","MONDO_0005351, EFO_0000232, MONDO_0002146, EFO_0000545, EFO_1001757, MONDO_0005180, HP_0001249, MONDO_0005180, MONDO_0005148, MONDO_0004975, MONDO_0011972, MONDO_0005147, EFO_0001073, EFO_1001485, EFO_0007319"
CHEMBL245,CHEMBL21536,"CHEMBL216, CHEMBL1821","7.89, 8.11, 6.92, 4.60",8.11,6.92,Small molecule,3.0,false,CHEMBL1248509,B,Homo sapiens,Muscarinic acetylcholine receptor M3,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P20309,GPCR,TRUE,TRUE,AGONIST,false,ENSG00000133019,false,true,true,true,false,2,2,,,,"ot_genetics_portal, chembl","ENSG00000180720, ENSG00000168539","MONDO_0005090, MONDO_0005090"
CHEMBL2041,CHEMBL3809489,CHEMBL4895,8.52,8.52,8.52,Small molecule,2.0,false,CHEMBL4188980,B,Homo sapiens,Tyrosine-protein kinase receptor RET,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P07949,Kinase,TRUE,TRUE,INHIBITOR,false,ENSG00000165731,false,true,true,true,false,1,10,,,,"uniprot_literature, impc, eva, intogen, gene2phenotype, chembl, eva_somatic, cancer_gene_census",ENSG00000167601,"MONDO_0100096, EFO_0000571, EFO_0002618, EFO_1000984, EFO_0000756, EFO_0003060, EFO_0000222, EFO_0000198, EFO_1000158, EFO_0000588"
CHEMBL4081,CHEMBL99,"","7.70, 7.52",7.70,7.52,Small molecule,1.0,false,CHEMBL1004859,B,Homo sapiens,Coagulation factor III,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P13726,None,TRUE,TRUE,,,ENSG00000117525,false,true,true,true,false,,1,,,,"impc, chembl","",MONDO_0004992
CHEMBL2608,CHEMBL1200339,"",6.55,6.55,6.55,Small molecule,4.0,true,CHEMBL1614103,F,Homo sapiens,Lysosomal alpha-glucosidase,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P10253,Enzyme,TRUE,TRUE,,,ENSG00000171298,false,true,true,true,false,3,18,,,,"uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, chembl, uniprot_variants","ENSG00000120907, ENSG00000171873, ENSG00000170214","EFO_0004269, HP_0000989, EFO_0004610, EFO_0006834, HP_0001742, EFO_0007486, EFO_0007533, EFO_0008521, EFO_0000319, EFO_0007214, EFO_0000178, EFO_0003956, EFO_0000544, EFO_0005251, MONDO_0024355, EFO_0009552, MONDO_0005129, MONDO_0005271"
