drugId,target_chembl_id,pchembl_value_aggr,max_pchembl_value,median_pchembl_value,drugType,maximumClinicalTrialPhase,isApproved,assay_chembl_id,assay_type,target_organism,target_pref_name,data_validity_comment,data_validity_description,confidence_score,confidence_description,assay_category,target_type,accession,proteinClass,isActive_max,isActive_med,action_type_moa_aggr,target_chembl_id_moa_aggr,isInMoA,targetId,isHighQualityProbe,isTherapeuticTarget,isGE,isGE_clinical,isProbe,linkedTargets_count,linkedDiseases_count,action_type_action_type,action_type_description,action_type_parent_type,sources_concated,linkedTargets_rows_concated,linkedDiseases_rows_concated,related_target_chembl_id,accession_related
CHEMBL6437,CHEMBL231,8.77,8.77,8.77,Small molecule,4.0,true,CHEMBL829679,B,Homo sapiens,Histamine H1 receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P35367,GPCR,TRUE,TRUE,"","",false,ENSG00000196639,false,true,false,true,false,,4,,,,chembl,"","EFO_0005230, EFO_0003761, MONDO_0005090, MONDO_0002050","",""
CHEMBL26,CHEMBL261,"5.92, 5.92, 5.92, 4.92, 5.92",5.92,5.92,Small molecule,4.0,true,CHEMBL2415808,B,Homo sapiens,Carbonic anhydrase I,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P00915,Enzyme,TRUE,TRUE,ANTAGONIST,CHEMBL217,false,ENSG00000133742,false,true,false,true,false,1,4,,,,chembl,ENSG00000149295,"EFO_0005230, EFO_0005407, MONDO_0002050, MONDO_0005090",CHEMBL2095180,P00918
CHEMBL2,CHEMBL1916,7.02,7.02,7.02,Small molecule,4.0,true,CHEMBL648703,B,Homo sapiens,Alpha-2c adrenergic receptor,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P18825,GPCR,TRUE,TRUE,ANTAGONIST,CHEMBL2094251,false,ENSG00000184160,false,true,false,true,false,3,12,,,,chembl,"ENSG00000120907, ENSG00000171873, ENSG00000170214","EFO_0004777, EFO_0004701, EFO_0000537, EFO_0000537, EFO_0003768, EFO_0000400, MONDO_0100096, EFO_0005230, MONDO_0007079, HP_0000011, EFO_0001358, EFO_0004253","CHEMBL2095158, CHEMBL2095203, CHEMBL2331074","P35348, P08913"
CHEMBL3545085,CHEMBL5810,8.30,8.30,8.3,Small molecule,1.0,false,CHEMBL3991700,B,Homo sapiens,Ephrin type-A receptor 1,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P21709,Kinase,TRUE,TRUE,INHIBITOR,"CHEMBL1862, CHEMBL2363074, CHEMBL1957",false,ENSG00000146904,false,true,false,true,false,12,4,,,,chembl,"ENSG00000140443, ENSG00000097007, ENSG00000010810, ENSG00000197122, ENSG00000182866, ENSG00000176105, ENSG00000136573, ENSG00000101336, ENSG00000254087, ENSG00000111816, ENSG00000000938, ENSG00000125508","MONDO_0004992, EFO_0000220, EFO_0000574, EFO_0000339",CHEMBL2363043,P29317
CHEMBL36,CHEMBL5877,5.35,5.35,5.35,Small molecule,4.0,true,CHEMBL3579968,B,Homo sapiens,Beta-hexosaminidase subunit beta,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P07686,Enzyme,TRUE,TRUE,INHIBITOR,CHEMBL1939,false,ENSG00000049860,false,false,true,true,false,0,21,,,,"uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, uniprot_variants","","EFO_0007448, MONDO_0010100, EFO_0000180, HP_0012424, EFO_0007517, EFO_0007445, EFO_0007220, EFO_0000095, MONDO_0002050, EFO_1001475, EFO_0001068, MONDO_0010006, EFO_0000764, EFO_0001356, EFO_0007200, EFO_0004272, EFO_0003917, EFO_0000198, EFO_0007444, MONDO_0005090, EFO_0002950",CHEMBL3038485,P07686
CHEMBL1200339,CHEMBL2608,6.55,6.55,6.55,Small molecule,4.0,true,CHEMBL1614103,F,Homo sapiens,Lysosomal alpha-glucosidase,,,9,Direct single protein target assigned,confirmatory,SINGLE PROTEIN,P10253,Enzyme,TRUE,TRUE,AGONIST,CHEMBL2094251,false,ENSG00000171298,false,true,true,true,false,3,18,,,,"uniprot_literature, impc, eva, orphanet, gene2phenotype, clingen, chembl, uniprot_variants","ENSG00000120907, ENSG00000171873, ENSG00000170214","EFO_0004269, HP_0000989, EFO_0004610, EFO_0006834, HP_0001742, EFO_0007486, EFO_0007533, EFO_0008521, EFO_0000319, EFO_0007214, EFO_0000178, EFO_0003956, EFO_0000544, EFO_0005251, MONDO_0024355, EFO_0009552, MONDO_0005129, MONDO_0005271",CHEMBL3833502,O43451
CHEMBL21536,CHEMBL245,"7.89, 4.60, 6.92, 8.11",8.11,6.92,Small molecule,3.0,false,CHEMBL1248509,B,Homo sapiens,Muscarinic acetylcholine receptor M3,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P20309,GPCR,TRUE,TRUE,AGONIST,"CHEMBL216, CHEMBL1821",false,ENSG00000133019,false,true,true,true,false,2,2,,,,"ot_genetics_portal, chembl","ENSG00000180720, ENSG00000168539","MONDO_0005090, MONDO_0005090","CHEMBL2094109, CHEMBL2111418, CHEMBL2095187",P20309
CHEMBL3809489,CHEMBL2041,8.52,8.52,8.52,Small molecule,2.0,false,CHEMBL4188980,B,Homo sapiens,Tyrosine-protein kinase receptor RET,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P07949,Kinase,TRUE,TRUE,INHIBITOR,CHEMBL4895,false,ENSG00000165731,false,true,true,true,false,1,10,,,,"uniprot_literature, impc, eva, intogen, gene2phenotype, chembl, eva_somatic, cancer_gene_census",ENSG00000167601,"MONDO_0100096, EFO_0000571, EFO_0002618, EFO_1000984, EFO_0000756, EFO_0003060, EFO_0000222, EFO_0000198, EFO_1000158, EFO_0000588","CHEMBL3430877, CHEMBL3430888, CHEMBL4523602, CHEMBL3430904",P07949
CHEMBL159,CHEMBL1835,5.73,5.73,5.73,Small molecule,4.0,true,CHEMBL1909116,B,Homo sapiens,Thromboxane-A synthase,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P24557,Enzyme,TRUE,TRUE,INHIBITOR,CHEMBL2095182,false,ENSG00000059377,false,false,true,true,false,15,47,,,,impc,"ENSG00000188229, ENSG00000101162, ENSG00000198033, ENSG00000127824, ENSG00000258947, ENSG00000167552, ENSG00000104833, ENSG00000261456, ENSG00000196230, ENSG00000123416, ENSG00000167553, ENSG00000152086, ENSG00000137267, ENSG00000137285, ENSG00000176014","EFO_0000588, MONDO_0018975, EFO_0000574, MONDO_0008170, EFO_0000681, MONDO_0009348, EFO_0000574, EFO_0000220, MONDO_0001187, EFO_0000691, MONDO_0002898, EFO_0000222, EFO_0004281, MONDO_0004192, MONDO_0004986, EFO_0006818, MONDO_0003751, MONDO_0008315, EFO_0000183, EFO_0000183, EFO_1000318, EFO_0000565, EFO_0002617, EFO_0000389, EFO_0000616, EFO_0003833, EFO_0005543, EFO_0000389, EFO_0000211, MONDO_0002041, MONDO_0008315, MONDO_0008903, MONDO_0002367, MONDO_0004986, EFO_0000756, EFO_1000158, MONDO_0001187, EFO_0000756, MONDO_0008903, EFO_0009907, EFO_0004281, EFO_0001642, MONDO_0004192, EFO_0008528, MONDO_0002974, MONDO_0009348, EFO_0000403","",""
CHEMBL584,CHEMBL340,6.00,6.00,6.0,Small molecule,4.0,true,CHEMBL2185193,A,Homo sapiens,Cytochrome P450 3A4,,,9,Direct single protein target assigned,,SINGLE PROTEIN,P08684,Enzyme,TRUE,TRUE,INHIBITOR,CHEMBL243,false,ENSG00000160868,false,true,false,true,false,0,29,,,,chembl,"","EFO_0003060, EFO_0000763, MONDO_0007915, MONDO_0001528, EFO_0000691, EFO_0000681, EFO_0000616, EFO_0000574, MONDO_0002974, EFO_0000569, EFO_1000910, EFO_0003860, EFO_0000519, EFO_0000313, EFO_0007313, EFO_0001378, EFO_0000765, EFO_0005543, HP_0002014, EFO_0000180, EFO_0000764, HP_0100806, EFO_0000764, EFO_0000365, EFO_0000558, EFO_1000158, MONDO_0008903, EFO_0001378, MONDO_0008903","CHEMBL2111472, CHEMBL4523986, CHEMBL2364675",P08684
