chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,isMoA,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget,proteinClass,isActive
CHEMBL3301610,1763572,CHEMBL4180588,1,LITERATURE,Bioorg Med Chem Lett,2.9074254E7,10.1016/j.bmcl.2017.09.050,10480,Q00534,Cyclin-dependent kinase 6,CHEMBL2508,Homo sapiens,1.9,nM,=,8.72,true,CHEMBL3301610,Q00534,"[impc, ot_genetics_portal, chembl, cancer_gene_census]",false,true,Kinase,true
CHEMBL535,13048,CHEMBL1244837,1,LITERATURE,Blood,1.9654408E7,10.1182/blood-2009-05-222034,100069,P07332,Tyrosine-protein kinase FES,CHEMBL5455,Homo sapiens,960.0,nM,=,6.02,false,CHEMBL535,P07332,"[impc, cancer_gene_census]",false,false,Kinase,false
CHEMBL633,27185,CHEMBL1909088,15,DRUGMATRIX,,,,52,P08913,Alpha-2a adrenergic receptor,CHEMBL1867,Homo sapiens,117.0,nM,=,6.93,false,CHEMBL633,P08913,"[impc, chembl]",false,true,GPCR,true
CHEMBL255863,426660,CHEMBL1908434,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,30019,P54756,Ephrin type-A receptor 5,CHEMBL3987,Homo sapiens,1900.0,nM,=,5.72,false,CHEMBL255863,P54756,"[chembl, eva_somatic]",false,true,Kinase,false
CHEMBL284616,46995,CHEMBL4813851,1,LITERATURE,Bioorg Med Chem,3.424692E7,10.1016/j.bmc.2021.116295,13061,P18031,Protein-tyrosine phosphatase 1B,CHEMBL335,Homo sapiens,100.0,nM,=,7.0,false,CHEMBL284616,P18031,[ot_genetics_portal],false,false,Enzyme,true
CHEMBL1615025,1038036,CHEMBL3266112,1,LITERATURE,Bioorg Med Chem Lett,2.4755426E7,10.1016/j.bmcl.2014.03.086,11409,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3587,Homo sapiens,1.79,nM,=,8.75,true,CHEMBL1615025,Q02750,"[intogen, ot_genetics_portal, chembl, eva_somatic, cancer_gene_census]",false,true,Kinase,true
CHEMBL71,6216,CHEMBL1909094,15,DRUGMATRIX,,,,100,P23975,Norepinephrine transporter,CHEMBL222,Homo sapiens,19.0,nM,=,7.72,false,CHEMBL71,P23975,"[impc, chembl]",false,true,Transporter,true
CHEMBL584,17224,CHEMBL1909174,15,DRUGMATRIX,,,,215,P08912,Muscarinic acetylcholine receptor M5,CHEMBL2035,Homo sapiens,61840.0,nM,=,4.21,false,CHEMBL584,P08912,[impc],false,false,GPCR,false
CHEMBL964,94571,CHEMBL1909128,15,DRUGMATRIX,,,,10773,P25025,Interleukin-8 receptor B,CHEMBL2434,Homo sapiens,4209.0,nM,=,5.38,false,CHEMBL964,P25025,"[impc, ot_genetics_portal, chembl]",false,true,GPCR,false
CHEMBL24828,33576,CHEMBL1908641,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,100417,Q9UM73,ALK tyrosine kinase receptor,CHEMBL4247,Homo sapiens,2100.0,nM,=,5.68,false,CHEMBL24828,Q9UM73,"[impc, eva, intogen, clingen, chembl, uniprot_variants, eva_somatic, cancer_gene_census]",false,true,Kinase,false
