chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget
CHEMBL4218271,2296422,CHEMBL4729732,1,LITERATURE,Bioorg Med Chem,3.2828425E7,10.1016/j.bmc.2020.115658,103147,P05089,Arginase-1,CHEMBL1075097,Homo sapiens,86.0,nM,=,7.07,CHEMBL4218271,P05089,impc,false,false
CHEMBL1879463,1220034,CHEMBL3861267,1,LITERATURE,J Med Chem,2.7644332E7,10.1021/acs.jmedchem.6b00963,103152,O00443,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha,CHEMBL1075102,Homo sapiens,34.0,nM,=,7.47,CHEMBL1879463,O00443,impc,false,false
CHEMBL2170016,1429495,CHEMBL2173829,1,LITERATURE,ACS Med Chem Lett,2.3066449E7,10.1021/ml300123a,103154,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,CHEMBL1075104,Homo sapiens,3.2,nM,=,8.49,CHEMBL2170016,Q5S007,chemicalProbes,true,false
CHEMBL1092791,620139,CHEMBL1114312,1,LITERATURE,Bioorg Med Chem Lett,2.0207142E7,10.1016/j.bmcl.2010.02.011,103048,O75884,Putative hydrolase RBBP9,CHEMBL1075121,Homo sapiens,640.0,nM,=,6.19,CHEMBL1092791,O75884,chemicalProbes,false,false
CHEMBL4299940,2337891,CHEMBL4701326,1,LITERATURE,Bioorg Med Chem Lett,3.2791196E7,10.1016/j.bmcl.2020.127462,103054,P30613,Pyruvate kinase isozymes R/L,CHEMBL1075126,Homo sapiens,29.0,nM,=,7.54,CHEMBL4299940,P30613,"uniprot_literature,impc,eva,chembl,uniprot_variants",false,true
CHEMBL252164,419032,CHEMBL3106548,1,LITERATURE,Bioorg Med Chem Lett,2.4332488E7,10.1016/j.bmcl.2013.11.036,103061,Q12931,"Heat shock protein 75 kDa, mitochondrial",CHEMBL1075132,Homo sapiens,16.0,nM,=,7.8,CHEMBL252164,Q12931,impc,false,false
CHEMBL1721885,1102616,CHEMBL1908416,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103062,Q8WTQ7,G protein-coupled receptor kinase 7,CHEMBL1075133,Homo sapiens,470.0,nM,=,6.33,CHEMBL1721885,Q8WTQ7,ot_genetics_portal,false,false
CHEMBL3220939,1727344,CHEMBL3749132,1,LITERATURE,J Med Chem,2.6565666E7,10.1021/acs.jmedchem.5b01346,103079,P55072,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,370.0,nM,=,6.43,CHEMBL3220939,P55072,chemicalProbes,false,false
CHEMBL3622372,1966053,CHEMBL3861252,1,LITERATURE,J Med Chem,2.7644332E7,10.1021/acs.jmedchem.6b00963,103104,Q8NEB9,Phosphatidylinositol 3-kinase catalytic subunit type 3,CHEMBL1075165,Homo sapiens,1.2,nM,=,8.92,CHEMBL3622372,Q8NEB9,chemicalProbes,true,false
CHEMBL1088762,619468,CHEMBL1115317,1,LITERATURE,J Med Chem,2.0017496E7,10.1021/jm901577g,103134,P14618,Pyruvate kinase isozymes M1/M2,CHEMBL1075189,Homo sapiens,111.0,nM,=,6.96,CHEMBL1088762,P14618,chemicalProbes,false,false
CHEMBL3798846,2084183,CHEMBL5210479,65,LIT_EUBOPEN_CGL,,,10.6019/CHEMBL5210307,103165,P61964,WD repeat-containing protein 5,CHEMBL1075317,Homo sapiens,24.0,nM,=,7.62,CHEMBL3798846,P61964,chemicalProbes,true,false
CHEMBL1385076,808960,CHEMBL4056819,1,LITERATURE,Bioorg Med Chem,2.8673732E7,10.1016/j.bmc.2017.06.016,103170,Q9Y2T6,G-protein coupled receptor 55,CHEMBL1075322,Homo sapiens,260.0,nM,=,6.58,CHEMBL1385076,Q9Y2T6,chemicalProbes,false,false
CHEMBL3426787,1844173,CHEMBL3806600,1,LITERATURE,J Med Chem,2.7003516E7,10.1021/acs.jmedchem.6b00085,103060,P14625,Endoplasmin,CHEMBL1075323,Homo sapiens,1140.0,nM,=,5.94,CHEMBL3426787,P14625,chemicalProbes,false,false
CHEMBL1287853,714243,CHEMBL1908532,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103430,O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,CHEMBL1163101,Homo sapiens,1200.0,nM,=,5.92,CHEMBL1287853,O75460,ot_genetics_portal,false,false
CHEMBL522892,494834,CHEMBL1908768,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103437,Q9UEW8,STE20/SPS1-related proline-alanine-rich protein kinase,CHEMBL1163108,Homo sapiens,530.0,nM,=,6.28,CHEMBL522892,Q9UEW8,"impc,ot_genetics_portal",false,false
CHEMBL554,14805,CHEMBL1908655,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103449,O75747,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,CHEMBL1163120,Homo sapiens,7500.0,nM,=,5.12,CHEMBL554,O75747,"impc,ot_genetics_portal",false,false
CHEMBL608533,608601,CHEMBL1908662,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103453,O43283,Mitogen-activated protein kinase kinase kinase 13,CHEMBL1163124,Homo sapiens,2800.0,nM,=,5.55,CHEMBL608533,O43283,"intogen,cancer_gene_census",false,false
