target_chembl_id,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,uniprotId,pref_name,organism,standard_value,standard_units,standard_relation,pchembl_value,isHighQualityProbe,isTherapeuticTarget,proteinClass,concatenated_sources
CHEMBL1075094,"CHEMBL116438,CHEMBL165,CHEMBL48802,CHEMBL1762621","1139916,75869,103658,190171","CHEMBL3879610,CHEMBL4307109,CHEMBL3295141,CHEMBL4193075",1,LITERATURE,"ACS Med Chem Lett,Bioorg Med Chem,J Med Chem,J Nat Prod","2.812644E7,2.4920381E7,2.8753294E7,3.1312409E7","10.1016/j.bmc.2017.01.005,10.1021/acs.jnatprod.7b00271,10.1021/jm500308c,10.1021/acsmedchemlett.9b00163",103144,Q16236,Nuclear factor erythroid 2-related factor 2,Homo sapiens,"580.0,9900.0,5400.0,60.0",nM,=,"5.0,5.27,7.22,6.24",false,true,TF,"impc,intogen,chembl,eva_somatic,cancer_gene_census,impc,intogen,chemicalProbes,chembl,eva_somatic,cancer_gene_census,intogen,chembl,eva_somatic,cancer_gene_census"
CHEMBL1075167,"CHEMBL1336,CHEMBL1230609","692959,276734","CHEMBL1244865,CHEMBL1908417",1,LITERATURE,"Blood,Nat Biotechnol","1.9654408E7,2.2037378E7","10.1038/nbt.1990,10.1182/blood-2009-05-222034",103106,Q8NE63,Homeodomain-interacting protein kinase 4,Homo sapiens,"0.51,2.7",nM,=,"8.57,9.29",false,false,Kinase,impc
CHEMBL1075319,"CHEMBL207433,CHEMBL2443061,CHEMBL3577885,CHEMBL3353597,CHEMBL256087","1817707,349135,1589591,1946198,425650","CHEMBL5161310,CHEMBL3383300,CHEMBL5214521,CHEMBL2444600,CHEMBL2445667","1,65","LIT_EUBOPEN_CGL,LITERATURE","Bioorg Med Chem,Bioorg Med Chem Lett,Eur J Med Chem","2.5455182E7,2.408046E7,2.4055075E7,3.5263708E7","10.1016/j.bmc.2013.08.031,10.6019/CHEMBL5212743,10.1016/j.bmcl.2014.10.074,10.1016/j.ejmech.2022.114191,10.1016/j.bmcl.2013.09.016",103167,Q7Z2W7,Transient receptor potential cation channel subfamily M member 8,Homo sapiens,"8.3,13.8,3000.0,8.9,1600.0",nM,=,"5.52,8.08,5.8,7.86,8.05","false,true","false,true",IC,"ot_genetics_portal,ot_genetics_portal,chembl,chemicalProbes"
CHEMBL1163106,CHEMBL384304,361203,CHEMBL1908722,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103435,P20794,Serine/threonine-protein kinase MAK,Homo sapiens,11.0,nM,=,7.96,false,false,Kinase,ot_genetics_portal
CHEMBL1163126,"CHEMBL384304,CHEMBL428690,CHEMBL445813","361203,511261,14366",CHEMBL1908787,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103455,Q9UPZ9,Serine/threonine-protein kinase ICK,Homo sapiens,"8.3,0.69,2.2",nM,=,"9.16,8.08,8.66",false,false,Kinase,impc
CHEMBL1169596,"CHEMBL1229517,CHEMBL1336","691867,276734","CHEMBL4331497,CHEMBL4050073",1,LITERATURE,Eur J Med Chem,"3.0529543E7,2.8242553E7","10.1016/j.ejmech.2017.02.041,10.1016/j.ejmech.2018.11.033",103465,P10398,Serine/threonine-protein kinase A-Raf,Homo sapiens,"2.1,7.1",nM,=,"8.68,8.15",false,true,Kinase,"intogen,chembl,eva_somatic,cancer_gene_census"
CHEMBL1250348,CHEMBL4297458,2335429,CHEMBL5029808,1,LITERATURE,Bioorg Med Chem Lett,3.4560263E7,10.1016/j.bmcl.2021.128376,103481,P01106,Myc proto-oncogene protein,Homo sapiens,0.7,nM,=,9.15,false,false,TF,"uniprot_literature,impc,intogen,ot_genetics_portal,eva_somatic,cancer_gene_census"
CHEMBL1250402,CHEMBL55643,87251,CHEMBL3111090,1,LITERATURE,J Med Chem,2.4304219E7,10.1021/jm401497a,103516,O94759,Transient receptor potential cation channel subfamily M member 2,Homo sapiens,2600.0,nM,=,5.58,false,false,IC,ot_genetics_portal
CHEMBL1250411,CHEMBL2024567,1339957,CHEMBL5149869,1,LITERATURE,ACS Med Chem Lett,3.6105325E7,10.1021/acsmedchemlett.2c00258,103525,Q9UL62,Short transient receptor potential channel 5,Homo sapiens,7.59,nM,=,8.12,false,false,IC,chemicalProbes
CHEMBL1255137,CHEMBL3408213,1834968,CHEMBL3413918,1,LITERATURE,J Med Chem,2.5680029E7,10.1021/jm501436m,103548,P56704,Protein Wnt-3a,Homo sapiens,7.0,nM,=,8.15,true,false,None,chemicalProbes
