accession,proteinClass
P32929,Enzyme
A4D0Y5,None
Q49A92,None
Q9UFW8,None
Q96K31,None
O14646,Epigenetic
Q8IWX8,None
Q99653,None
O94983,TF
Q8NA66,None
Q96M20,None
Q86VU5,Enzyme
P42695,None
Q8IYT2,Enzyme
Q9NSA3,None
Q96KP4,Enzyme
Q13956,Enzyme
O95476,Enzyme
Q9BYD5,None
Q969H4,Enzyme
Q6P9H4,Enzyme
O95406,None
Q3B7I2,None
P18545,Enzyme
Q9P232,None
Q6PJW8,None
P26992,None
Q9NXG0,None
Q8N8G6,None
Q8N910,None
H3BRN8,None
Q01955,None
P06681,None
P27658,None
P02461,None
P0C0L5,None
P20908,None
P25940,None
Q9H4G8,None
P02748,None
Q9GZY4,Enzyme
P10643,None
Q7L8W6,Enzyme
Q9BTV6,Enzyme
Q13057,Enzyme
P00414,Enzyme
Q9NRP2,None
O60397,Enzyme
Q6UWD8,None
Q6ZW13,None
O43174,Enzyme
P22680,Enzyme
P05177,None
O43809,None
Q02318,Enzyme
Q16678,None
Q6UW02,None
P10635,Enzyme
P05813,None
Q9NQ79,None
P43320,None
Q96RY5,None
O94985,None
Q9GZN8,None
Q8N8Q3,Enzyme
Q9H4G1,None
Q5W188,None
Q5W186,None
Q9HC47,None
Q96RT6,None
Q8IX95,None
Q53GD3,Transporter
O43310,None
Q8NCS7,Transporter
Q8WVB6,None
P26232,None
A4FU28,None
P29279,None
P52569,Transporter
Q8WZ74,None
Q7RTX7,IC
Q9N2K0,None
O42043,None
Q6ZRH7,None
Q9NTU4,None
Q69384,None
P61567,None
Q902F8,None
Q9H0I2,None
P58513,None
P58512,None
Q8TCZ7,None
P59091,None
O60494,None
A0A1B0GTU2,None
A0A1B0GV90,None
O60888,None
P06733,Enzyme
P39880,None
Q6ZV56,None
P13929,Enzyme
P09104,Enzyme
Q02221,Enzyme
P14854,Enzyme
Q969M2,None
P48165,None
P35212,None
O95452,None
P19876,None
P08034,None
P80162,None
P02775,None
O75712,None
Q96KN9,None
P25025,GPCR
A6NN92,None
P61073,GPCR
P00167,None
Q9BQA9,None
Q9HB71,None
P00156,None
P00403,Enzyme
Q7Z7K0,None
O14548,Enzyme
P10632,None
P51589,None
Q86X59,None
A8MU93,None
Q96SQ9,None
O75718,None
O75462,None
Q9HC73,None
P02489,None
Q9Y2W7,IC
P0DML2,None
Q9BV81,None
Q9Y3B6,None
P50402,None
P15509,None
Q99062,None
Q96A84,None
Q8WXE0,None
Q7L5N1,None
Q9UBW8,None
Q99708,Enzyme
P35221,None
Q8WWI5,Transporter
A4D2H0,None
Q13618,None
Q13619,None
Q9NTM9,None
O14529,TF
P19875,None
P42830,None
P32302,GPCR
Q9NTQ9,None
O43927,None
O95715,None
Q6UXB2,None
O15255,None
P49447,None
P04839,IC
Q53TN4,Enzyme
O95674,Enzyme
Q5SZL2,None
Q2WEN9,None
A8MTB9,None
Q9UPV0,None
A6NDU8,None
Q03701,None
Q9HCU4,GPCR
Q711Q0,None
Q16739,Enzyme
Q96LK0,None
Q9BS16,None
P07199,None
Q9NYQ6,GPCR
Q9BU64,None
O15182,None
Q4VX62,None
Q6ZQR2,None
Q6P656,None
Q8IZ16,None
Q6ZUL3,None
E5RJ46,None
Q96KT6,None
Q96MT7,None
Q8N6G5,Enzyme
Q8N1V2,None
Q96NF6,None
Q5T655,None
P61604,None
P09622,Enzyme
Q9BUK0,None
Q12873,Epigenetic
Q8TBE1,None
Q8IV77,IC
Q9P003,None
Q14028,IC
P04440,None
P51911,None
Q86SG4,None
Q9NRU3,None
Q9BV87,None
O75175,None
O95628,None
P21554,GPCR
Q9UHC6,None
Q9UFF9,None
Q92600,None
Q8N137,None
Q7Z7A1,None
A6NNL5,None
Q9BZG8,None
P07358,None
P01024,None
Q14055,None
P12109,None
P12111,None
A8TX70,None
A6NMZ7,None
P13671,None
Q9H2P9,Enzyme
O60762,Enzyme
O94777,None
Q9P2X0,Enzyme
Q9H8M1,None
Q10570,None
Q8TEY5,TF
Q7Z7G2,None
Q07973,Enzyme
Q8N1N5,None
P60606,None
Q4LDR2,None
Q2VPK5,None
Q96M42,None
Q6ZN03,None
P58505,None
Q9NV44,None
P59036,None
P59037,None
P59089,None
Q9UJ94,None
Q13616,None
Q8IWT3,None
Q7L5Y1,Enzyme
P0DO92,None
Q9NXE8,None
Q9UHY7,Enzyme
Q9HAI6,None
Q8N9T2,None
Q96LI9,None
A0A1B0GTR3,None
P0DPH9,None
Q8N2A0,None
A6NEN9,None
Q16206,None
P49238,GPCR
P12074,Enzyme
P24310,Enzyme
P14406,Enzyme
Q6YFQ2,Enzyme
P17302,None
P36382,None
P57773,None
P78310,None
Q6PEY0,None
P29033,None
Q8N144,None
O95377,None
O14625,None
P49682,GPCR
Q7LFL8,None
Q9P0U4,Epigenetic
P13498,None
O43169,None
P99999,None
Q9NQC7,Enzyme
Q5TYM5,None
H0Y354,None
Q86UY5,None
Q5TA50,None
Q9UNU6,Enzyme
P33261,None
P11509,None
O14810,None
Q8N436,Enzyme
Q8IZJ3,None
Q9Y4K1,None
Q9Y262,None
Q6WN34,None
Q96D31,IC
Q8TCG5,Enzyme
P23508,None
Q9UGL9,None
Q8IUH2,None
Q494W8,None
P02741,None
Q9H336,None
Q5TZA2,None
Q5IJ48,None
Q9BUF7,None
O43186,TF
O60716,None
Q9UQB3,None
Q9UBT7,None
