target,pharm_action,gene,uniprot_id,drugbank_id
Carbonic anhydrase 3,Unknown,CA3,P07451,DB12418
Dopamine D2 receptor,Yes,DRD2,P14416,DB01200
Dopamine D3 receptor,Yes,DRD3,P35462,DB01200
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB01200
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB01200
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01200
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB01200
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB01200
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB01200
Dopamine D4 receptor,Unknown,DRD4,P21917,DB01200
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB01200
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB01200
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01200
Dopamine D5 receptor,Unknown,DRD5,P21918,DB01200
Dopamine D1 receptor,Unknown,DRD1,P21728,DB01200
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB01200
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB01200
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB01200
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB01200
Dopamine D2 receptor,Yes,DRD2,P14416,DB00988
Dopamine D1 receptor,Yes,DRD1,P21728,DB00988
Dopamine D5 receptor,Yes,DRD5,P21918,DB00988
Dopamine D3 receptor,Yes,DRD3,P35462,DB00988
Dopamine D4 receptor,Yes,DRD4,P21917,DB00988
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB00988
Dopamine beta-hydroxylase,Yes,DBH,P09172,DB00988
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00988
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00988
D(1) dopamine receptor (Protein Group),Unknown,,,DB00988
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB00988
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB00988
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB00988
5-hydroxytryptamine receptor 3B,Unknown,HTR3B,O95264,DB00988
Superoxide dismutase [Cu-Zn],Unknown,SOD1,P00441,DB00988
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB00988
Alpha-2A adrenergic receptor,Yes,ADRA2A,P08913,DB00484
